1, car, 69%, 1091, 738, 425, 384
2, bus, 61%, 1095, 753, 425, 358
3, car, 98%, 1298, 654, 329, 286
4, car, 92%, 1463, 608, 357, 239
5, truck, 64%, 1014, 420, 258, 244
6, car, 85%, 864, 511, 238, 217
7, truck, 97%, 569, 525, 192, 228
8, truck, 62%, 708, 164, 211, 186
9, truck, 66%, 726, 377, 191, 159
10, bus, 92%, 589, 86, 139, 146
11, car, 91%, 1776, 1030, 215, 94
12, bus, 91%, 248, 64, 114, 147
13, bus, 70%, 527, 44, 128, 117
14, person, 76%, 1692, 2, 109, 126
15, car, 98%, 1904, 761, 95, 140
16, car, 96%, 438, 252, 118, 94
17, car, 87%, 623, 271, 124, 86
18, car, 79%, 556, 188, 105, 99
19, bus, 79%, 624, 32, 109, 87
20, person, 89%, 1678, 392, 64, 101
21, car, 82%, 517, 156, 82, 70
22, person, 55%, 1767, 515, 71, 76
23, person, 82%, 1835, 479, 58, 90
24, motorcycle, 63%, 975, 397, 63, 77
25, person, 87%, 984, 377, 43, 78
26, person, 92%, 1556, 386, 42, 80
27, person, 99%, 40, 220, 37, 86
28, car, 85%, 141, 33, 55, 49
29, person, 84%, 1361, 315, 30, 82
30, car, 85%, 355, 91, 50, 47
31, bicycle, 56%, 1150, 272, 57, 35
32, person, 67%, 1190, 201, 24, 66
33, car, 76%, 320, 27, 40, 31
34, person, 65%, 1346, 306, 27, 45
35, person, 77%, 1199, 214, 21, 55
36, person, 76%, 1310, 312, 21, 40
37, tie, 51%, 1722, 90, 21, 33
38, person, 93%, 1147, 206, 14, 47
39, stop, sign, 1150, 118, 21, 24
