1, car, 92%, 104, 388, 283, 148
2, car, 77%, 385, 265, 74, 100
3, person, 99%, 883, 451, 54, 117
4, car, 99%, 576, 237, 70, 71
5, person, 99%, 764, 428, 36, 116
6, person, 95%, 818, 424, 37, 112
7, person, 95%, 833, 361, 39, 98
8, person, 98%, 399, 508, 42, 60
9, person, 100%, 477, 373, 36, 71
10, car, 76%, 528, 199, 44, 51
11, person, 73%, 807, 307, 25, 80
12, person, 96%, 134, 302, 27, 70
13, car, 97%, 593, 196, 49, 39
14, person, 94%, 274, 333, 26, 66
15, person, 78%, 208, 309, 25, 69
16, person, 50%, 746, 307, 25, 69
17, person, 82%, 185, 311, 25, 68
18, person, 67%, 741, 358, 24, 69
19, car, 91%, 472, 191, 42, 39
20, truck, 70%, 495, 165, 35, 46
21, person, 76%, 832, 310, 25, 66
22, car, 81%, 402, 245, 53, 30
23, person, 71%, 297, 368, 36, 43
24, person, 68%, 265, 302, 19, 71
25, person, 87%, 157, 272, 20, 65
26, person, 68%, 285, 307, 22, 47
27, person, 59%, 291, 237, 17, 50
28, backpack, 72%, 821, 445, 25, 33
29, person, 88%, 415, 192, 16, 50
30, car, 66%, 611, 146, 36, 22
31, bicycle, 79%, 488, 418, 19, 41
32, person, 78%, 187, 285, 22, 34
33, person, 92%, 467, 208, 14, 45
34, person, 50%, 227, 377, 23, 26
35, person, 65%, 335, 198, 15, 39
36, person, 63%, 550, 138, 13, 44
37, backpack, 51%, 749, 325, 18, 29
38, person, 59%, 682, 206, 12, 32
39, person, 77%, 147, 280, 10, 32
40, person, 64%, 638, 157, 10, 29
41, handbag, 59%, 236, 353, 13, 17
42, person, 52%, 257, 391, 13, 13
43, person, 53%, 590, 142, 7, 21
