1, car, 97%, 1316, 605, 306, 291
2, car, 99%, 1555, 649, 337, 252
3, car, 85%, 861, 623, 208, 302
4, car, 69%, 489, 865, 285, 213
5, car, 89%, 1236, 898, 340, 176
6, car, 97%, 208, 625, 270, 211
7, car, 98%, 1353, 498, 178, 154
8, car, 91%, 1172, 479, 144, 128
9, car, 74%, 884, 397, 101, 109
10, car, 89%, 1170, 358, 111, 97
11, person, 92%, 500, 798, 74, 143
12, car, 81%, 1020, 377, 96, 94
13, person, 96%, 1087, 667, 68, 119
14, person, 68%, 0, 693, 52, 126
15, person, 66%, 782, 702, 65, 101
16, person, 91%, 310, 843, 75, 86
17, person, 82%, 495, 623, 56, 109
18, person, 71%, 1125, 554, 54, 108
19, car, 83%, 907, 368, 78, 72
20, person, 97%, 1244, 684, 64, 87
21, person, 66%, 538, 650, 60, 81
22, person, 54%, 738, 549, 48, 99
23, person, 58%, 813, 590, 55, 71
24, person, 90%, 1807, 329, 55, 69
25, car, 85%, 1108, 327, 69, 55
26, car, 75%, 937, 332, 59, 62
27, person, 59%, 1093, 472, 39, 84
28, person, 86%, 1334, 450, 39, 77
29, person, 58%, 492, 510, 44, 68
30, person, 76%, 1284, 471, 40, 70
31, car, 72%, 1016, 307, 57, 49
32, car, 97%, 1317, 244, 67, 39
33, person, 53%, 759, 618, 47, 56
34, person, 55%, 1766, 346, 42, 55
35, person, 84%, 317, 589, 42, 52
36, person, 92%, 1397, 458, 39, 48
37, person, 71%, 1821, 279, 32, 54
38, person, 79%, 1515, 247, 30, 52
39, car, 84%, 880, 276, 41, 36
40, person, 69%, 1854, 272, 25, 56
41, person, 83%, 1549, 252, 28, 36
42, person, 79%, 1603, 264, 27, 36
43, car, 86%, 974, 240, 34, 27
44, car, 77%, 1284, 237, 30, 26
45, car, 63%, 748, 237, 30, 24
46, person, 56%, 1501, 240, 20, 33
47, car, 58%, 898, 228, 31, 21
48, car, 61%, 1375, 231, 15, 18
